-----------------------------------------------------------
Server listening on 9005 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.9, port 59210
[  6] local 10.0.0.5 port 9005 connected to 10.0.0.9 port 50236
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec   987 KBytes  8.08 Mbits/sec  0.003 ms  0/698 (0%)  
[  6]   1.00-2.00   sec  1.21 MBytes  10.2 Mbits/sec  0.004 ms  0/877 (0%)  
[  6]   2.00-3.00   sec  1.21 MBytes  10.2 Mbits/sec  0.005 ms  0/877 (0%)  
[  6]   3.00-4.00   sec  1.21 MBytes  10.2 Mbits/sec  0.001 ms  0/877 (0%)  
[  6]   4.00-5.00   sec  1.21 MBytes  10.1 Mbits/sec  0.002 ms  0/876 (0%)  
[  6]   5.00-6.00   sec  1.21 MBytes  10.2 Mbits/sec  0.001 ms  0/877 (0%)  
[  6]   6.00-7.00   sec  1.21 MBytes  10.2 Mbits/sec  0.001 ms  0/876 (0%)  
[  6]   7.00-8.00   sec  1.21 MBytes  10.2 Mbits/sec  0.002 ms  0/877 (0%)  
[  6]   8.00-9.00   sec  1.21 MBytes  10.2 Mbits/sec  0.003 ms  0/877 (0%)  
[  6]   9.00-10.00  sec  1.21 MBytes  10.2 Mbits/sec  0.002 ms  0/877 (0%)  
[  6]  10.00-11.00  sec  1.21 MBytes  10.2 Mbits/sec  0.003 ms  0/877 (0%)  
[  6]  11.00-12.00  sec  1.21 MBytes  10.2 Mbits/sec  0.023 ms  0/876 (0%)  
[  6]  12.00-13.00  sec  1.21 MBytes  10.1 Mbits/sec  0.003 ms  0/877 (0%)  
[  6]  13.00-14.00  sec  1.21 MBytes  10.2 Mbits/sec  0.003 ms  0/877 (0%)  
[  6]  14.00-15.00  sec  1.21 MBytes  10.2 Mbits/sec  0.007 ms  0/876 (0%)  
[  6]  15.00-16.00  sec  1.21 MBytes  10.2 Mbits/sec  0.001 ms  0/877 (0%)  
[  6]  16.00-17.00  sec  1.21 MBytes  10.2 Mbits/sec  0.001 ms  0/877 (0%)  
[  6]  17.00-18.00  sec  1.21 MBytes  10.2 Mbits/sec  0.008 ms  0/877 (0%)  
[  6]  18.00-19.00  sec  1.21 MBytes  10.2 Mbits/sec  0.004 ms  0/876 (0%)  
[  6]  19.00-20.00  sec  1.21 MBytes  10.2 Mbits/sec  0.007 ms  0/877 (0%)  
[  6]  20.00-21.00  sec  1.15 MBytes  9.65 Mbits/sec  0.538 ms  0/833 (0%)  
[  6]  21.00-22.00  sec  1.18 MBytes  9.89 Mbits/sec  0.665 ms  0/854 (0%)  
[  6]  22.00-23.00  sec  1.18 MBytes  9.93 Mbits/sec  0.897 ms  0/856 (0%)  
[  6]  23.00-24.00  sec  1.24 MBytes  10.4 Mbits/sec  0.599 ms  0/900 (0%)  
[  6]  24.00-25.00  sec  1.20 MBytes  10.1 Mbits/sec  0.556 ms  0/871 (0%)  
[  6]  25.00-26.00  sec  1.21 MBytes  10.1 Mbits/sec  0.512 ms  0/876 (0%)  
[  6]  26.00-27.00  sec  1.21 MBytes  10.2 Mbits/sec  0.506 ms  0/877 (0%)  
[  6]  27.00-28.00  sec  1.22 MBytes  10.3 Mbits/sec  0.610 ms  0/887 (0%)  
[  6]  28.00-29.00  sec  1.19 MBytes  10.0 Mbits/sec  1.389 ms  0/865 (0%)  
[  6]  29.00-30.00  sec  1.24 MBytes  10.4 Mbits/sec  1.043 ms  0/898 (0%)  
[  6]  30.00-30.21  sec   250 KBytes  10.0 Mbits/sec  1.190 ms  0/177 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-30.21  sec  36.2 MBytes  10.1 Mbits/sec  1.190 ms  0/26250 (0%)  receiver
