-----------------------------------------------------------
Server listening on 1021 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 44970
[  6] local 10.0.0.21 port 1021 connected to 10.0.0.1 port 59887
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec   464 KBytes  3.80 Mbits/sec  0.237 ms  0/328 (0%)  
[  6]   1.00-2.00   sec   462 KBytes  3.79 Mbits/sec  0.055 ms  0/327 (0%)  
[  6]   2.00-3.00   sec   462 KBytes  3.79 Mbits/sec  0.029 ms  0/327 (0%)  
[  6]   3.00-4.00   sec   462 KBytes  3.79 Mbits/sec  0.048 ms  0/327 (0%)  
[  6]   4.00-5.00   sec   462 KBytes  3.79 Mbits/sec  0.020 ms  0/327 (0%)  
[  6]   5.00-6.00   sec   461 KBytes  3.78 Mbits/sec  0.021 ms  0/326 (0%)  
[  6]   6.00-7.00   sec   462 KBytes  3.79 Mbits/sec  0.043 ms  0/327 (0%)  
[  6]   7.00-8.00   sec   462 KBytes  3.79 Mbits/sec  0.005 ms  0/327 (0%)  
[  6]   8.00-9.00   sec   462 KBytes  3.79 Mbits/sec  0.060 ms  0/327 (0%)  
[  6]   9.00-10.00  sec   462 KBytes  3.79 Mbits/sec  0.024 ms  0/327 (0%)  
[  6]  10.00-11.00  sec   462 KBytes  3.79 Mbits/sec  0.006 ms  0/327 (0%)  
[  6]  11.00-12.00  sec   462 KBytes  3.79 Mbits/sec  0.009 ms  0/327 (0%)  
[  6]  12.00-13.00  sec   462 KBytes  3.79 Mbits/sec  0.002 ms  0/327 (0%)  
[  6]  13.00-14.00  sec   462 KBytes  3.79 Mbits/sec  0.012 ms  0/327 (0%)  
[  6]  14.00-15.00  sec   462 KBytes  3.78 Mbits/sec  0.012 ms  0/327 (0%)  
[  6]  15.00-16.00  sec   462 KBytes  3.79 Mbits/sec  0.004 ms  0/327 (0%)  
[  6]  16.00-17.00  sec   462 KBytes  3.79 Mbits/sec  0.107 ms  0/327 (0%)  
[  6]  17.00-18.00  sec   462 KBytes  3.79 Mbits/sec  0.003 ms  0/327 (0%)  
[  6]  18.00-19.00  sec   462 KBytes  3.79 Mbits/sec  0.004 ms  0/327 (0%)  
[  6]  19.00-20.00  sec   443 KBytes  3.62 Mbits/sec  3.504 ms  0/313 (0%)  
[  6]  20.00-21.00  sec   460 KBytes  3.77 Mbits/sec  3.093 ms  0/325 (0%)  
[  6]  21.00-22.00  sec   461 KBytes  3.78 Mbits/sec  3.156 ms  0/326 (0%)  
[  6]  22.00-23.00  sec   461 KBytes  3.78 Mbits/sec  3.797 ms  0/326 (0%)  
[  6]  23.00-24.00  sec   451 KBytes  3.70 Mbits/sec  3.670 ms  0/319 (0%)  
[  6]  24.00-25.00  sec   486 KBytes  3.98 Mbits/sec  3.527 ms  0/344 (0%)  
[  6]  25.00-26.00  sec   475 KBytes  3.89 Mbits/sec  1.933 ms  0/336 (0%)  
[  6]  26.00-27.00  sec   462 KBytes  3.79 Mbits/sec  0.003 ms  0/327 (0%)  
[  6]  27.00-28.00  sec   462 KBytes  3.79 Mbits/sec  0.009 ms  0/327 (0%)  
[  6]  28.00-29.00  sec   461 KBytes  3.78 Mbits/sec  0.002 ms  0/326 (0%)  
[  6]  29.00-30.00  sec   462 KBytes  3.79 Mbits/sec  0.003 ms  0/327 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-30.00  sec  13.5 MBytes  3.79 Mbits/sec  0.003 ms  0/9809 (0%)  receiver
