-----------------------------------------------------------
Server listening on 21007 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.21, port 49778
[  6] local 10.0.0.7 port 21007 connected to 10.0.0.21 port 60241
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec   544 KBytes  4.46 Mbits/sec  0.004 ms  0/385 (0%)  
[  6]   1.00-2.00   sec   542 KBytes  4.44 Mbits/sec  0.008 ms  0/383 (0%)  
[  6]   2.00-3.00   sec   543 KBytes  4.45 Mbits/sec  0.012 ms  0/384 (0%)  
[  6]   3.00-4.00   sec   543 KBytes  4.45 Mbits/sec  1.156 ms  0/384 (0%)  
[  6]   4.00-5.00   sec   539 KBytes  4.41 Mbits/sec  0.440 ms  0/381 (0%)  
[  6]   5.00-6.00   sec   546 KBytes  4.47 Mbits/sec  0.865 ms  0/386 (0%)  
[  6]   6.00-7.00   sec   542 KBytes  4.44 Mbits/sec  0.767 ms  0/383 (0%)  
[  6]   7.00-8.00   sec   543 KBytes  4.45 Mbits/sec  0.618 ms  0/384 (0%)  
[  6]   8.00-9.00   sec   543 KBytes  4.45 Mbits/sec  0.519 ms  0/384 (0%)  
[  6]   9.00-10.00  sec   543 KBytes  4.45 Mbits/sec  0.416 ms  0/384 (0%)  
[  6]  10.00-11.00  sec   542 KBytes  4.44 Mbits/sec  0.032 ms  0/383 (0%)  
[  6]  11.00-12.00  sec   543 KBytes  4.45 Mbits/sec  0.001 ms  0/384 (0%)  
[  6]  12.00-13.00  sec   543 KBytes  4.45 Mbits/sec  0.001 ms  0/384 (0%)  
[  6]  13.00-14.00  sec   542 KBytes  4.43 Mbits/sec  0.002 ms  0/383 (0%)  
[  6]  14.00-15.00  sec   543 KBytes  4.45 Mbits/sec  0.001 ms  0/384 (0%)  
[  6]  15.00-16.00  sec   543 KBytes  4.45 Mbits/sec  0.001 ms  0/384 (0%)  
[  6]  16.00-17.00  sec   542 KBytes  4.44 Mbits/sec  0.001 ms  0/383 (0%)  
[  6]  17.00-18.00  sec   543 KBytes  4.45 Mbits/sec  0.001 ms  0/384 (0%)  
[  6]  18.00-19.00  sec   543 KBytes  4.45 Mbits/sec  0.009 ms  0/384 (0%)  
[  6]  19.00-20.00  sec   543 KBytes  4.45 Mbits/sec  0.001 ms  0/384 (0%)  
[  6]  20.00-21.00  sec   542 KBytes  4.44 Mbits/sec  0.001 ms  0/383 (0%)  
[  6]  21.00-22.00  sec   543 KBytes  4.45 Mbits/sec  0.007 ms  0/384 (0%)  
[  6]  22.00-23.00  sec   448 KBytes  3.67 Mbits/sec  4.579 ms  0/317 (0%)  
[  6]  23.00-24.00  sec   157 KBytes  1.29 Mbits/sec  6.750 ms  0/111 (0%)  
[  6]  24.00-25.00  sec   157 KBytes  1.28 Mbits/sec  6.310 ms  0/111 (0%)  
[  6]  25.00-26.00  sec   102 KBytes   834 Kbits/sec  6.966 ms  0/72 (0%)  
[  6]  26.00-27.00  sec   144 KBytes  1.18 Mbits/sec  7.837 ms  0/102 (0%)  
[  6]  27.00-28.00  sec  24.0 KBytes   197 Kbits/sec  139.556 ms  0/17 (0%)  
[  6]  28.00-29.00  sec   157 KBytes  1.29 Mbits/sec  7.787 ms  0/111 (0%)  
[  6]  29.00-30.00  sec  36.8 KBytes   301 Kbits/sec  42.579 ms  0/26 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-30.00  sec  12.9 MBytes  3.59 Mbits/sec  42.579 ms  0/9309 (0%)  receiver
