-----------------------------------------------------------
Server listening on 19012 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.19, port 41332
[  6] local 10.0.0.12 port 19012 connected to 10.0.0.19 port 51039
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec  1.11 MBytes  9.32 Mbits/sec  0.479 ms  0/805 (0%)  
[  6]   1.00-2.00   sec   983 KBytes  8.05 Mbits/sec  0.485 ms  0/695 (0%)  
[  6]   2.00-3.00   sec   814 KBytes  6.67 Mbits/sec  0.486 ms  0/576 (0%)  
[  6]   3.00-4.00   sec   652 KBytes  5.34 Mbits/sec  0.494 ms  0/461 (0%)  
[  6]   4.00-5.00   sec   488 KBytes  4.00 Mbits/sec  0.501 ms  0/345 (0%)  
[  6]   5.00-6.00   sec   491 KBytes  4.02 Mbits/sec  0.507 ms  0/347 (0%)  
[  6]   6.00-7.00   sec   489 KBytes  4.01 Mbits/sec  0.502 ms  0/346 (0%)  
[  6]   7.00-8.00   sec   489 KBytes  4.01 Mbits/sec  0.514 ms  0/346 (0%)  
[  6]   8.00-9.00   sec   488 KBytes  4.00 Mbits/sec  0.500 ms  0/345 (0%)  
[  6]   9.00-10.00  sec   488 KBytes  4.00 Mbits/sec  0.500 ms  0/345 (0%)  
[  6]  10.00-11.00  sec   489 KBytes  4.01 Mbits/sec  0.499 ms  0/346 (0%)  
[  6]  11.00-12.00  sec   489 KBytes  4.01 Mbits/sec  0.500 ms  0/346 (0%)  
[  6]  12.00-13.00  sec   491 KBytes  4.02 Mbits/sec  0.495 ms  0/347 (0%)  
[  6]  13.00-14.00  sec   489 KBytes  4.01 Mbits/sec  0.496 ms  0/346 (0%)  
[  6]  14.00-15.00  sec   489 KBytes  4.01 Mbits/sec  0.496 ms  0/346 (0%)  
[  6]  15.00-16.00  sec   489 KBytes  4.01 Mbits/sec  10.241 ms  0/346 (0%)  
[  6]  16.00-17.00  sec   161 KBytes  1.32 Mbits/sec  7.706 ms  0/114 (0%)  
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec  7.706 ms  0/0 (0%)  
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec  7.706 ms  0/0 (0%)  
[  6]  19.00-20.00  sec  9.90 KBytes  81.0 Kbits/sec  147.535 ms  0/7 (0%)  
[  6]  20.00-21.00  sec   153 KBytes  1.25 Mbits/sec  8.630 ms  0/108 (0%)  
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  8.630 ms  0/0 (0%)  
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  8.630 ms  0/0 (0%)  
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  8.630 ms  0/0 (0%)  
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  8.630 ms  0/0 (0%)  
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  8.630 ms  0/0 (0%)  
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec  8.630 ms  0/0 (0%)  
[  6]  27.00-28.00  sec  21.2 KBytes   174 Kbits/sec  80.918 ms  13811/13826 (1e+02%)  
[  6]  28.00-29.00  sec  86.3 KBytes   707 Kbits/sec  15.515 ms  729/790 (92%)  
[  6]  29.00-30.00  sec  42.4 KBytes   347 Kbits/sec  201.898 ms  4113/4143 (99%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-30.00  sec  9.70 MBytes  2.71 Mbits/sec  201.898 ms  18653/25676 (73%)  receiver
